Doug,Make_x,Model_x,Version,Kilometers,Engine,Fuel Type,Transmission,Year_x,City,Price,Currency,Link,Year_y,Make_y,Model_y,Styling,Acceleration,Handling,Fun Factor,Cool Factor,WEEKEND TOTAL,Features,Comfort,Quality,Practicality,Value,DAILY TOTAL,DOUGSCORE,Video Link,Filming City,Filming State,Vehicle Country
Jeep Gladiator 2020,Jeep,Gladiator,Overland,0 km,3.6,Nafta,Automática secuencial,2023,Capital Federal,99097,USD,https://auto.mercadolibre.com.ar/MLA-1387869157-gladiatord-_JM,2020,Jeep,Gladiator,6,1,3,8,6,24,6,5,6,8,7,32,56,32:10,Sacramento,California,USA
Jeep Gladiator 2020,Jeep,Gladiator,OVERLAND 3.6,0 km,3.6,Nafta,Automática,2023,Capital Federal,99000,USD,https://auto.mercadolibre.com.ar/MLA-1402214642-jeep-gladiator-overland-36-_JM,2020,Jeep,Gladiator,6,1,3,8,6,24,6,5,6,8,7,32,56,32:10,Sacramento,California,USA
Jeep Gladiator 2020,Jeep,Gladiator,OVERLAND 4X4 3.6L V6 24V 285CV AT8,0 km,3.6,Diésel,Automática,2023,La Plata,109963,USD,https://auto.mercadolibre.com.ar/MLA-1527121266-jeep-gladiator-overland-36l-v6-24v-285cv-at8ds-_JM,2020,Jeep,Gladiator,6,1,3,8,6,24,6,5,6,8,7,32,56,32:10,Sacramento,California,USA
Jeep Gladiator 2020,Jeep,Gladiator Overland,Overland,0 km,3.6 V6,Nafta,Automática,2023,Capital Federal,90000,USD,https://auto.mercadolibre.com.ar/MLA-1337694848-jeep-gladiator-hc-_JM,2020,Jeep,Gladiator,6,1,3,8,6,24,6,5,6,8,7,32,56,32:10,Sacramento,California,USA
Jeep Gladiator 2020,Jeep,Gladiator,Overland,0 km,3.6,Nafta,Automática,2023,Avellaneda,99999,USD,https://auto.mercadolibre.com.ar/MLA-1317455946-gladiator-overland-36l-at8-4x4-_JM,2020,Jeep,Gladiator,6,1,3,8,6,24,6,5,6,8,7,32,56,32:10,Sacramento,California,USA
Jeep Gladiator 2020,Jeep,Gladiator,Overland,0 km,3.6,Nafta,Automática,2023,Capital Federal,99000,USD,https://auto.mercadolibre.com.ar/MLA-1367221735-jeep-gladiador-overland-_JM,2020,Jeep,Gladiator,6,1,3,8,6,24,6,5,6,8,7,32,56,32:10,Sacramento,California,USA
Jeep Gladiator 2020,Jeep,Gladiator,Overland,0 km,V6,Nafta,Automática,2023,Olavarría,90000,USD,https://auto.mercadolibre.com.ar/MLA-1378433082-gladiator-overland-hc-_JM,2020,Jeep,Gladiator,6,1,3,8,6,24,6,5,6,8,7,32,56,32:10,Sacramento,California,USA
Jeep Gladiator 2020,Jeep,Gladiator,Overland,0 km,3.6 V6,Nafta,Automática,2024,Ezeiza,102000,USD,https://auto.mercadolibre.com.ar/MLA-1386063749-jeep-gladiator-overland-_JM,2020,Jeep,Gladiator,6,1,3,8,6,24,6,5,6,8,7,32,56,32:10,Sacramento,California,USA
Jeep Gladiator 2020,Jeep,Gladiator,Overland,0 km,3.6 285CV,Nafta,Automática,2023,Capital Federal,117000,USD,https://auto.mercadolibre.com.ar/MLA-1386311419-jeep-gladiator-36-l-v6-285cv-at8-bb-_JM,2020,Jeep,Gladiator,6,1,3,8,6,24,6,5,6,8,7,32,56,32:10,Sacramento,California,USA
Ford Focus ST 2013,Ford,Focus,Style 1.6 5 puertas,190000 km,2.0,Nafta,Automática,2013,San Isidro,5000,ARS,https://auto.mercadolibre.com.ar/MLA-1523607068-ford-focus-style-16-5-puertas-_JM,2013,Ford,Focus ST,6,3,6,6,5,26,5,5,5,7,8,30,56,22:27:00,San Diego,California,USA
BMW Z4 sDrive30i 2019,BMW,Z4,3.0 Sdrive30i 258cv,60000 km,3.0,Nafta,Manual,2012,Villa Carlos Paz,55000,USD,https://auto.mercadolibre.com.ar/MLA-1468098294-bmw-z4-2012-30-sdrive30i-258cv-_JM,2019,BMW,Z4 sDrive30i,7,5,6,6,5,29,7,5,7,2,6,27,56,21:21,Santa Ana,California,Germany
BMW Z4 sDrive30i 2019,BMW,Z4,3.0 Sdrive30i 258cv,27572 km,3.0,Nafta,Manual,2010,Capital Federal,53500,USD,https://auto.mercadolibre.com.ar/MLA-1388869495-bmw-z-4-cabriolet-mt-_JM,2019,BMW,Z4 sDrive30i,7,5,6,6,5,29,7,5,7,2,6,27,56,21:21,Santa Ana,California,Germany
Jeep Wrangler Unlimited 2018,Jeep,Wrangler,3.6 Unlimited 284hp Atx,23000 km,3.6,Nafta,Automática,2018,Capital Federal,79900,USD,https://auto.mercadolibre.com.ar/MLA-1382611515-jeep-wrangler-unlimited-at-blanco-2018-23000kms-_JM,2018,Jeep,Wrangler Unlimited,6,2,4,8,5,25,5,5,6,8,7,31,56,29:41,Marana,Arizona,USA
Jeep Wrangler Unlimited 2018,Jeep,Wrangler,3.6 Unlimited 284hp Atx,77000 km,3.6,Nafta,Automática,2018,Vicente López,65800,USD,https://auto.mercadolibre.com.ar/MLA-1393376207-jeep-wrangler-36-v6-rubicon-unlimited-2018-4x4-escape-kn-_JM,2018,Jeep,Wrangler Unlimited,6,2,4,8,5,25,5,5,6,8,7,31,56,29:41,Marana,Arizona,USA
Jeep Wrangler Unlimited 2018,Jeep,Wrangler,3.6 Unlimited 284hp Atx,66000 km,3.6,Nafta,Automática,2018,Rosario,53900,USD,https://auto.mercadolibre.com.ar/MLA-1384271039-jeep-wrangler-sport-unlimited-36-at-_JM,2018,Jeep,Wrangler Unlimited,6,2,4,8,5,25,5,5,6,8,7,31,56,29:41,Marana,Arizona,USA
Jeep Wrangler Unlimited 2018,Jeep,Wrangler,3.6 Unlimited 284hp Atx,12000 km,3.6,Nafta,Automática,2019,Tigre,95000,USD,https://auto.mercadolibre.com.ar/MLA-1524552732-jeep-wrangler-_JM,2018,Jeep,Wrangler Unlimited,6,2,4,8,5,25,5,5,6,8,7,31,56,29:41,Marana,Arizona,USA
Jeep Wrangler Unlimited 2018,Jeep,Wrangler,3.8 Sport Mtx Unlimited,155000 km,3.8,Nafta,Manual,2008,Capital Federal,34000,USD,https://auto.mercadolibre.com.ar/MLA-1384229329-jeep-wrangler-2008-38-sport-mtx-unlimited-_JM,2018,Jeep,Wrangler Unlimited,6,2,4,8,5,25,5,5,6,8,7,31,56,29:41,Marana,Arizona,USA
Jeep Wrangler Unlimited 2018,Jeep,Wrangler,3.6 Unlimited 284hp Atx,0 km,3.6,Nafta,Automática,2023,Capital Federal,102200,USD,https://auto.mercadolibre.com.ar/MLA-1310587589-jeep-gladiator-4x4-h-_JM,2018,Jeep,Wrangler Unlimited,6,2,4,8,5,25,5,5,6,8,7,31,56,29:41,Marana,Arizona,USA
Jeep Wrangler Unlimited 2018,Jeep,Wrangler,3.6 Unlimited 284hp Atx,92000 km,3.6,Nafta,Automática,2011,Pilar,35000,USD,https://auto.mercadolibre.com.ar/MLA-1487605992-jeep-wrangler-2011-36-unlimited-284hp-atx-_JM,2018,Jeep,Wrangler Unlimited,6,2,4,8,5,25,5,5,6,8,7,31,56,29:41,Marana,Arizona,USA
Jeep Wrangler Unlimited 2018,Jeep,Wrangler,3.6 Unlimited 284hp Atx,116279 km,3.6,Nafta,Automática,2019,Morón,54900,USD,https://auto.mercadolibre.com.ar/MLA-1541046662-jeep-wrangler-36-unlimited-2019-impecable-_JM,2018,Jeep,Wrangler Unlimited,6,2,4,8,5,25,5,5,6,8,7,31,56,29:41,Marana,Arizona,USA
Jeep Wrangler Unlimited 2018,Jeep,Wrangler,3.8 Sport Unlimited 199cv Mtx,70000 km,3.8,Nafta,Manual,2011,La Falda,46000,USD,https://auto.mercadolibre.com.ar/MLA-1542277620-jeep-wrangler-2011-38-sport-unlimited-199cv-mtx-_JM,2018,Jeep,Wrangler Unlimited,6,2,4,8,5,25,5,5,6,8,7,31,56,29:41,Marana,Arizona,USA
Jeep Wrangler Unlimited 2018,Jeep,Wrangler,3.6 Unlimited 284hp Mtx,92672 km,3.6,Nafta,Manual,2013,Moreno,43000,USD,https://auto.mercadolibre.com.ar/MLA-1393527053-jeep-wrangler-_JM,2018,Jeep,Wrangler Unlimited,6,2,4,8,5,25,5,5,6,8,7,31,56,29:41,Marana,Arizona,USA
Jeep Wrangler Unlimited 2018,Jeep,Wrangler,3.8 Sport Unlimited 199cv Mtx,41500 km,3.8,Nafta,Manual,2011,Tigre,41000,USD,https://auto.mercadolibre.com.ar/MLA-1390227475-jeep-wrangler-2011-38-sport-unlimited-199cv-mtx-_JM,2018,Jeep,Wrangler Unlimited,6,2,4,8,5,25,5,5,6,8,7,31,56,29:41,Marana,Arizona,USA
Jeep Wrangler Unlimited 2018,Jeep,Wrangler,3.8 Sport Mtx Unlimited,146000 km,3.8,Nafta,Manual,2008,Guaymallén,28000,USD,https://auto.mercadolibre.com.ar/MLA-1511788994-jeep-wrangler-sport-38-4ptas-unlimited-197cv-_JM,2018,Jeep,Wrangler Unlimited,6,2,4,8,5,25,5,5,6,8,7,31,56,29:41,Marana,Arizona,USA
Jeep Wrangler Unlimited 2018,Jeep,Wrangler,3.8 Sport Unlimited 199cv Mtx,80000 km,3.8,Nafta,Manual,2011,San Isidro,45000,USD,https://auto.mercadolibre.com.ar/MLA-1546734610-jeep-wrangler-unlimited-2011-80000-km-inmaculada-equipada-_JM,2018,Jeep,Wrangler Unlimited,6,2,4,8,5,25,5,5,6,8,7,31,56,29:41,Marana,Arizona,USA
Jeep Wrangler Unlimited 2018,Jeep,Wrangler,3.6 Unlimited 284hp Atx,5000 km,3.6,Nafta,Automática,2022,Capital Federal,97000,USD,https://auto.mercadolibre.com.ar/MLA-1515205788-jeep-gladiator-_JM,2018,Jeep,Wrangler Unlimited,6,2,4,8,5,25,5,5,6,8,7,31,56,29:41,Marana,Arizona,USA
Jeep Wrangler Unlimited 2018,Jeep,Wrangler,3.6 Unlimited 284hp Atx,3430 km,3.6,Nafta,Automática,2022,Capital Federal,97000,USD,https://auto.mercadolibre.com.ar/MLA-1515166588-jeep-gladiator-_JM,2018,Jeep,Wrangler Unlimited,6,2,4,8,5,25,5,5,6,8,7,31,56,29:41,Marana,Arizona,USA
Jeep Wrangler Unlimited 2018,Jeep,Wrangler,3.6 Unlimited 284hp Atx,29000 km,3.6,Nafta,Automática,2019,Alta Gracia,63000,USD,https://auto.mercadolibre.com.ar/MLA-1389699783-jeep-wrangler-2019-36-unlimited-284hp-atx-_JM,2018,Jeep,Wrangler Unlimited,6,2,4,8,5,25,5,5,6,8,7,31,56,29:41,Marana,Arizona,USA
Jeep Wrangler Unlimited 2018,Jeep,Wrangler,3.6 Unlimited 284hp Atx,124000 km,3.6,Nafta,Automática,2013,Vicente López,37500,USD,https://auto.mercadolibre.com.ar/MLA-1513027516-jeep-wrangler-2013-36-unlimited-284hp-atx-_JM,2018,Jeep,Wrangler Unlimited,6,2,4,8,5,25,5,5,6,8,7,31,56,29:41,Marana,Arizona,USA
Jeep Wrangler Unlimited 2018,Jeep,Wrangler,3.8 Sport Atx Unlimited,190000 km,3.8,Nafta,Automática,2010,Vicente López,28500,USD,https://auto.mercadolibre.com.ar/MLA-1524511740-jeep-wrangler-2010-38-sport-atx-unlimited-_JM,2018,Jeep,Wrangler Unlimited,6,2,4,8,5,25,5,5,6,8,7,31,56,29:41,Marana,Arizona,USA
Jaguar XJ Super V8 2006,Jaguar,XJ,4.2 Super V8,69000 km,4.2,Nafta,Automática,2006,Capital Federal,32000,USD,https://auto.mercadolibre.com.ar/MLA-1383433671-jaguar-xj-super-v8-420-hp-2006-_JM,2006,Jaguar,XJ Super V8,6,5,4,5,5,25,5,8,6,5,6,30,55,1900-01-01 00:43:00,Corona,California,UK
Fiat 500 Abarth 2015,Fiat,500,1.4 Abarth 595 160cv,68300 km,1.4,Nafta,Manual,2014,General San Martín,17000,USD,https://auto.mercadolibre.com.ar/MLA-1392651685-fiat-500-abarth-595-_JM,2015,Fiat,500 Abarth,7,2,6,8,5,28,4,4,5,4,10,27,55,21:55,Newport Beach,California,Italy
Fiat 500 Abarth 2015,Fiat,500,1.4 Abarth 595 165cv,28000 km,1.4,Nafta,Manual,2019,Pilar,23500,USD,https://auto.mercadolibre.com.ar/MLA-1531007704-fiat-500-2019-14-abarth-595-190cv-_JM,2015,Fiat,500 Abarth,7,2,6,8,5,28,4,4,5,4,10,27,55,21:55,Newport Beach,California,Italy
Fiat 500 Abarth 2015,Fiat,500,1.4 Abarth 595 165cv,57000 km,1.4,Nafta,Manual,2018,San Miguel,22000,USD,https://auto.mercadolibre.com.ar/MLA-1506072796-fiat-500-2018-14-abarth-595-165cv-_JM,2015,Fiat,500 Abarth,7,2,6,8,5,28,4,4,5,4,10,27,55,21:55,Newport Beach,California,Italy
Fiat 500 Abarth 2015,Fiat,500,1.4 Abarth 135cv,80000 km,1.4,Nafta,Manual,2013,Mar del Plata,17000,USD,https://auto.mercadolibre.com.ar/MLA-1393138229-fiat-500-abarth-2013-80000km-accesorios-cub-nuevas-_JM,2015,Fiat,500 Abarth,7,2,6,8,5,28,4,4,5,4,10,27,55,21:55,Newport Beach,California,Italy
Fiat 500 Abarth 2015,Fiat,500,1.4 Abarth 135cv,70000 km,1.4,Nafta,Manual,2014,Capital Federal,16000,USD,https://auto.mercadolibre.com.ar/MLA-1392274847-fiat-500-2014-14-abarth-135cv-maderomotors-_JM,2015,Fiat,500 Abarth,7,2,6,8,5,28,4,4,5,4,10,27,55,21:55,Newport Beach,California,Italy
Fiat 500 Abarth 2015,Fiat,500,1.4 Abarth 595 165cv,4000 km,1.4,Nafta,Manual,2021,Capital Federal,33900,USD,https://auto.mercadolibre.com.ar/MLA-1391808455-fiat-500-abarth-595-abarth-595-_JM,2015,Fiat,500 Abarth,7,2,6,8,5,28,4,4,5,4,10,27,55,21:55,Newport Beach,California,Italy
Fiat 500 Abarth 2015,Fiat,500,1.4 Abarth 595 165cv,20000 km,1.4,Nafta,Manual,2019,Mar del Plata,25000,USD,https://auto.mercadolibre.com.ar/MLA-1485687280-fiat-500-abarth-2019-_JM,2015,Fiat,500 Abarth,7,2,6,8,5,28,4,4,5,4,10,27,55,21:55,Newport Beach,California,Italy
Fiat 500 Abarth 2015,Fiat,500,1.4 Abarth 135cv,55000 km,1.4,Nafta,Manual,2014,La Plata,16200,USD,https://auto.mercadolibre.com.ar/MLA-1483073182-fiat-500-2014-14-abarth-_JM,2015,Fiat,500 Abarth,7,2,6,8,5,28,4,4,5,4,10,27,55,21:55,Newport Beach,California,Italy
Fiat 500 Abarth 2015,Fiat,500,1.4 Abarth 595 160cv,58500 km,1.4,Nafta,Manual,2014,La Matanza,15000,USD,https://auto.mercadolibre.com.ar/MLA-1533721414-fiat-500-2014-14-abarth-595-160cv-_JM,2015,Fiat,500 Abarth,7,2,6,8,5,28,4,4,5,4,10,27,55,21:55,Newport Beach,California,Italy
Fiat 500 Abarth 2015,Fiat,500,1.4 Abarth 595 165cv,16000 km,1.4,Nafta,Manual,2020,Avellaneda,24500,USD,https://auto.mercadolibre.com.ar/MLA-1544051956-fiat-500-2020-14-abarth-595-165cv-_JM,2015,Fiat,500 Abarth,7,2,6,8,5,28,4,4,5,4,10,27,55,21:55,Newport Beach,California,Italy
Fiat 500 Abarth 2015,Fiat,500,1.4 Abarth 595 165cv,21000 km,1.4,Nafta,Manual,2019,Mar del Plata,25000,USD,https://auto.mercadolibre.com.ar/MLA-1543892360-fiat-500-14-abarth-595-165cv-_JM,2015,Fiat,500 Abarth,7,2,6,8,5,28,4,4,5,4,10,27,55,21:55,Newport Beach,California,Italy
Fiat 500 Abarth 2015,Fiat,500,1.4 Abarth 595 165cv,31500 km,1.4,Nafta,Manual,2018,Capital Federal,23500,USD,https://auto.mercadolibre.com.ar/MLA-1530417932-fiat-500-2018-14-abarth-595-165cv-_JM,2015,Fiat,500 Abarth,7,2,6,8,5,28,4,4,5,4,10,27,55,21:55,Newport Beach,California,Italy
Fiat 500 Abarth 2015,Fiat,500,1.4 Abarth 595 165cv,41000 km,1.4,Nafta,Manual,2018,General San Martín,26000,USD,https://auto.mercadolibre.com.ar/MLA-1543222506-fiat-500-abarth-abarth-_JM,2015,Fiat,500 Abarth,7,2,6,8,5,28,4,4,5,4,10,27,55,21:55,Newport Beach,California,Italy
Fiat 500 Abarth 2015,Fiat,500,1.4 Abarth 595 165cv,41000 km,1.4,Nafta,Manual,2018,Lomas de Zamora,23000,USD,https://auto.mercadolibre.com.ar/MLA-1525223414-fiat-500-abarth-_JM,2015,Fiat,500 Abarth,7,2,6,8,5,28,4,4,5,4,10,27,55,21:55,Newport Beach,California,Italy
Fiat 500 Abarth 2015,Fiat,500,1.4 Abarth 595 165cv,9500 km,1.4,Nafta,Manual,2019,San Miguel,24000,USD,https://auto.mercadolibre.com.ar/MLA-1525188774-fiat-500-2019-14-abarth-595-165cv-_JM,2015,Fiat,500 Abarth,7,2,6,8,5,28,4,4,5,4,10,27,55,21:55,Newport Beach,California,Italy
Fiat 500 Abarth 2015,Fiat,500,1.4 Abarth 135cv,81500 km,1.4,Nafta,Manual,2013,Tres de febrero,13990,USD,https://auto.mercadolibre.com.ar/MLA-1535910066-fiat-500-abarth-_JM,2015,Fiat,500 Abarth,7,2,6,8,5,28,4,4,5,4,10,27,55,21:55,Newport Beach,California,Italy
Fiat 500 Abarth 2015,Fiat,500,1.4 Abarth 135cv,29500 km,1.4,Nafta,Manual,2014,Capital Federal,14900,USD,https://auto.mercadolibre.com.ar/MLA-1391723459-fiat-500-abarth-_JM,2015,Fiat,500 Abarth,7,2,6,8,5,28,4,4,5,4,10,27,55,21:55,Newport Beach,California,Italy
Fiat 500 Abarth 2015,Fiat,500,1.4 Abarth 135cv,66300 km,1.4,Nafta,Manual,2013,Ituzaingó,14000,USD,https://auto.mercadolibre.com.ar/MLA-1524435034-fiat-500-2013-14-abarth-135cv-_JM,2015,Fiat,500 Abarth,7,2,6,8,5,28,4,4,5,4,10,27,55,21:55,Newport Beach,California,Italy
Fiat 500 Abarth 2015,Fiat,500,1.4 Abarth 595 165cv,45000 km,1.4,Nafta,Manual,2018,Capital Federal,20999,USD,https://auto.mercadolibre.com.ar/MLA-1472865036-fiat-500-abarth-2018-km-45000-205-caballos-excelente-_JM,2015,Fiat,500 Abarth,7,2,6,8,5,28,4,4,5,4,10,27,55,21:55,Newport Beach,California,Italy
Fiat 500 Abarth 2015,Fiat,500,1.4 Abarth 135cv,30046 km,1.4,Nafta,Manual,2012,Ituzaingó,18000,USD,https://auto.mercadolibre.com.ar/MLA-1389595207-fiat-500-2012-14-abarth-135cv-_JM,2015,Fiat,500 Abarth,7,2,6,8,5,28,4,4,5,4,10,27,55,21:55,Newport Beach,California,Italy
Fiat 500 Abarth 2015,Fiat,500,1.4 Abarth 595 165cv,16300 km,1.4,Nafta,Manual,2019,Capital Federal,23900,USD,https://auto.mercadolibre.com.ar/MLA-1393040397-fiat-500-2019-14-abarth-595-165cv-_JM,2015,Fiat,500 Abarth,7,2,6,8,5,28,4,4,5,4,10,27,55,21:55,Newport Beach,California,Italy
Fiat 500 Abarth 2015,Fiat,500,1.4 Abarth 595 165cv,24000 km,1.4,Nafta,Manual,2019,Del Viso,23900,USD,https://auto.mercadolibre.com.ar/MLA-1384979893-fiat-500-2019-14-abarth-595-165cv-_JM,2015,Fiat,500 Abarth,7,2,6,8,5,28,4,4,5,4,10,27,55,21:55,Newport Beach,California,Italy
Fiat 500 Abarth 2015,Fiat,500,1.4 Abarth 595 165cv,39800 km,1.4,Nafta,Manual,2019,Castelar,25500,USD,https://auto.mercadolibre.com.ar/MLA-1525922204-fiat-500-14-abarth-595-165cv-2019-car-cash-_JM,2015,Fiat,500 Abarth,7,2,6,8,5,28,4,4,5,4,10,27,55,21:55,Newport Beach,California,Italy
Fiat 500 Abarth 2015,Fiat,500,1.4 Abarth 135cv,55000 km,1.4,Nafta,Manual,2013,Lanús,15900000,USD,https://auto.mercadolibre.com.ar/MLA-1390243177-fiat-500-2013-14-abarth-135cv-_JM,2015,Fiat,500 Abarth,7,2,6,8,5,28,4,4,5,4,10,27,55,21:55,Newport Beach,California,Italy
Mercedes-Benz SL500 2002,Mercedes-Benz,SL500,3.2 S320 V6 1,40000 km,V8,Nafta,Manual,1986,Capital Federal,139900,USD,https://auto.mercadolibre.com.ar/MLA-1504803076-mercedes-benz-sl500-1986-autopremium-_JM,2002,Mercedes-Benz,SL500,7,4,5,5,5,26,4,6,8,3,7,28,54,23:36,San Diego,California,Germany
Land Rover Range Rover Evoque 2020,Land Rover,Range Rover,Range Rover Evoque,88000 km,300HP,Nafta,Automática,2013,San Isidro,31000,USD,https://auto.mercadolibre.com.ar/MLA-1393492467-land-rover-range-rover-range-rover-evoque-_JM,2020,Land Rover,Range Rover Evoque,7,2,4,2,4,19,8,7,6,7,7,35,54,23:12,Carlsbad,California,UK
Land Rover Range Rover Evoque 2020,Land Rover,Range Rover,Evoque 2.0 Tpure Plus,108000 km,2.0,Nafta,Automática secuencial,2013,Godoy Cruz,33000,USD,https://auto.mercadolibre.com.ar/MLA-1487468798-range-rover-evoque-20-t-pure-plus-gencosa-_JM,2020,Land Rover,Range Rover Evoque,7,2,4,2,4,19,8,7,6,7,7,35,54,23:12,Carlsbad,California,UK
Land Rover Range Rover Evoque 2020,Land Rover,Range Rover,Evoque,67299 km,2.0,Nafta,Automática,2017,Capital Federal,56500,USD,https://auto.mercadolibre.com.ar/MLA-1510953908-land-rover-range-rover-evoque-si4-20-_JM,2020,Land Rover,Range Rover Evoque,7,2,4,2,4,19,8,7,6,7,7,35,54,23:12,Carlsbad,California,UK
Land Rover Range Rover Evoque 2020,Land Rover,Range Rover,Evoque 2.0 SE 240cv,48000 km,2.0,Nafta,Manual,2017,San Isidro,45500,USD,https://auto.mercadolibre.com.ar/MLA-1387695473-land-rover-range-rover-evoque-20-se-240cv-_JM,2020,Land Rover,Range Rover Evoque,7,2,4,2,4,19,8,7,6,7,7,35,54,23:12,Carlsbad,California,UK
Mercedes-Benz GLC300 2020,Mercedes-Benz,Clase GLC,2.0 Glc300 4matic Coupe At,79000 km,2.0,Nafta,Automática,2020,Pilar,100000,USD,https://auto.mercadolibre.com.ar/MLA-1543862284-mercedes-benz-clase-glc-20-glc300-4matic-coupe-at-_JM,2020,Mercedes-Benz,GLC300,5,3,4,2,3,17,8,7,7,7,7,36,53,9:34,Newport Beach,California,Germany
Mercedes-Benz GLC300 2020,Mercedes-Benz,Clase GLC,2.0 Glc300 4matic Coupe At,48000 km,2.0,Nafta,Automática,2020,Pilar,105000,USD,https://auto.mercadolibre.com.ar/MLA-1527045346-mercedes-benz-clase-glc-20-glc300-4matic-coupe-at-2020-_JM,2020,Mercedes-Benz,GLC300,5,3,4,2,3,17,8,7,7,7,7,36,53,9:34,Newport Beach,California,Germany
Mercedes-Benz GLC300 2020,Mercedes-Benz,Clase GLC,2.0 Glc300 4matic Coupe At,60000 km,2.0,Nafta,Automática,2020,Capital Federal,120000,USD,https://auto.mercadolibre.com.ar/MLA-1388743415-mercedes-benz-clase-glc-2020-20-glc300-4matic-coupe-at-_JM,2020,Mercedes-Benz,GLC300,5,3,4,2,3,17,8,7,7,7,7,36,53,9:34,Newport Beach,California,Germany
Mercedes-Benz GLC300 2020,Mercedes-Benz,Clase GLC,2.0 Glc300 4matic Offroad At,33000 km,2.0,Nafta,Automática,2020,Capital Federal,83000,USD,https://auto.mercadolibre.com.ar/MLA-1531022042-mercedes-benz-clase-glc-2020-20-glc300-4matic-offroad-at-_JM,2020,Mercedes-Benz,GLC300,5,3,4,2,3,17,8,7,7,7,7,36,53,9:34,Newport Beach,California,Germany
Mercedes-Benz GLC300 2020,Mercedes-Benz,Clase GLC,2.0 Glc300 4matic Offroad At,27920 km,2.0,Nafta,Automática,2020,Mendoza,79000,USD,https://auto.mercadolibre.com.ar/MLA-1527089998-mercedes-benz-glc-300-off-road-2020-_JM,2020,Mercedes-Benz,GLC300,5,3,4,2,3,17,8,7,7,7,7,36,53,9:34,Newport Beach,California,Germany
Mercedes-Benz GLC300 2020,Mercedes-Benz,Clase GLC,2.0 Glc300 4matic Offroad At,11000 km,2.0,Nafta,Automática,2020,Berazategui,83000,USD,https://auto.mercadolibre.com.ar/MLA-1392408537-mercedes-benz-clase-glc-2020-20-glc300-4matic-offroad-at-_JM,2020,Mercedes-Benz,GLC300,5,3,4,2,3,17,8,7,7,7,7,36,53,9:34,Newport Beach,California,Germany
Mercedes-Benz GLC300 2020,Mercedes-Benz,Clase GLC,2.0 Glc300 4matic Coupe At,61000 km,2.0,Nafta,Automática,2020,Capital Federal,85000,USD,https://auto.mercadolibre.com.ar/MLA-1523642438-mercedes-benz-clase-glc-2020-20-glc300-4matic-coupe-at-_JM,2020,Mercedes-Benz,GLC300,5,3,4,2,3,17,8,7,7,7,7,36,53,9:34,Newport Beach,California,Germany
Mercedes-Benz GLC300 2020,Mercedes-Benz,Clase GLC,2.0 Glc300 4matic Offroad At,34000 km,2.0,Nafta,Automática,2020,Vicente López,89000,USD,https://auto.mercadolibre.com.ar/MLA-1494701356-mercedes-benz-clase-glc-2020-20-glc300-4matic-offroad-at-_JM,2020,Mercedes-Benz,GLC300,5,3,4,2,3,17,8,7,7,7,7,36,53,9:34,Newport Beach,California,Germany
Mercedes-Benz GLC300 2020,Mercedes-Benz,Clase GLC,2.0 Glc300 4matic Coupe At,55000 km,2.0,Nafta,Automática,2020,Capital Federal,118000,USD,https://auto.mercadolibre.com.ar/MLA-1518060008-mercedes-benz-clase-glc-2020-20-glc300-4matic-coupe-at-_JM,2020,Mercedes-Benz,GLC300,5,3,4,2,3,17,8,7,7,7,7,36,53,9:34,Newport Beach,California,Germany
Mercedes-Benz GLC300 2020,Mercedes-Benz,Clase GLC,2.0 Glc300 4matic Offroad At,69000 km,2.0,Nafta,Automática,2020,Rosario,75000000,USD,https://auto.mercadolibre.com.ar/MLA-1500783412-mercedes-benz-clase-glc-2020-20-glc300-4matic-offroad-at-_JM,2020,Mercedes-Benz,GLC300,5,3,4,2,3,17,8,7,7,7,7,36,53,9:34,Newport Beach,California,Germany
Mercedes-Benz GLC300 2020,Mercedes-Benz,Clase GLC,2.0 Glc300 4matic Coupe At,55000 km,2.0,Nafta,Automática,2020,Moreno,98000,USD,https://auto.mercadolibre.com.ar/MLA-1508152752-mercedes-benz-glc-300-coupe-2020-55000-muy-cuidada--_JM,2020,Mercedes-Benz,GLC300,5,3,4,2,3,17,8,7,7,7,7,36,53,9:34,Newport Beach,California,Germany
Mercedes-Benz GLC300 2020,Mercedes-Benz,Clase GLC,2.0 Glc300 4matic Coupe At,69000 km,2.0,Nafta,Automática,2020,Brandsen,85000,USD,https://auto.mercadolibre.com.ar/MLA-1390536551-mercedes-benz-glc-300-coupe-amg-line-_JM,2020,Mercedes-Benz,GLC300,5,3,4,2,3,17,8,7,7,7,7,36,53,9:34,Newport Beach,California,Germany
Mercedes-Benz GLC300 2020,Mercedes-Benz,Clase GLC,2.0 Glc300 4matic Coupe At,22600 km,2.0,Nafta,Automática,2020,Tigre,113000,USD,https://auto.mercadolibre.com.ar/MLA-1509793842-mercedes-benz-clase-glc-2020-20-glc300-4matic-coupe-at-_JM,2020,Mercedes-Benz,GLC300,5,3,4,2,3,17,8,7,7,7,7,36,53,9:34,Newport Beach,California,Germany
Mercedes-Benz GLC300 2020,Mercedes-Benz,Clase GLC,2.0 Glc300 4matic Coupe At,45000 km,2.0,Nafta,Automática,2020,Quilmes,100000,USD,https://auto.mercadolibre.com.ar/MLA-1391125441-mercedes-benz-clase-glc-2020-20-glc300-4matic-coupe-at-_JM,2020,Mercedes-Benz,GLC300,5,3,4,2,3,17,8,7,7,7,7,36,53,9:34,Newport Beach,California,Germany
