Doug,Make_x,Model_x,Version,Kilometers,Engine,Fuel Type,Transmission,Year_x,City,Price,Currency,Link,Year_y,Make_y,Model_y,Styling,Acceleration,Handling,Fun Factor,Cool Factor,WEEKEND TOTAL,Features,Comfort,Quality,Practicality,Value,DAILY TOTAL,DOUGSCORE,Video Link,Filming City,Filming State,Vehicle Country
Mercedes-Benz AMG GT S 2017,Mercedes-Benz,GTS,AMG GT S,5300 km,1.4,Nafta,Manual,2017,Escobar,310000,USD,https://auto.mercadolibre.com.ar/MLA-1525891586-mercedes-benz-gts-amg-gt-s-_JM,2017,Mercedes-Benz,AMG GT S,7,8,8,8,7,38,6,6,7,3,7,29,67,8:13,West Chester,Pennsylvania,Germany
Ford GT 2005,Ford,Mustang,5.0 Coupe V8 Gt,140000 km,5.0,Nafta,Manual,2005,Campana,35000,USD,https://auto.mercadolibre.com.ar/MLA-1511814876-ford-mustang-v6-40-_JM,2005,Ford,GT,9,8,9,10,9,45,3,4,7,1,7,22,67,8:31,Brampton,Ontario,USA
Ford GT 2005,Ford,Mustang,5.0 Coupe V8 Gt,72000 km,5.0,Nafta,Manual,2005,Capital Federal,44990,USD,https://auto.mercadolibre.com.ar/MLA-1502591412-ford-mustang-2005-50-coupe-v8-gt-_JM,2005,Ford,GT,9,8,9,10,9,45,3,4,7,1,7,22,67,8:31,Brampton,Ontario,USA
Porsche Panamera Turbo 2017,Porsche,Panamera,4.8 Turbo 500cv (970),60000 km,4.8,Nafta,Automática,2011,Tigre,105000,USD,https://auto.mercadolibre.com.ar/MLA-1384706051-porsche-panamera-turbo-500-cv-_JM,2017,Porsche,Panamera Turbo,6,8,6,6,6,32,7,7,9,6,6,35,67,22:55,Warrington,Pennsylvania,Germany
Porsche Panamera Turbo 2017,Porsche,Panamera,4.8 Turbo 500cv (970),46000 km,4.8,Nafta,Automática,2011,Vicente López,130000,USD,https://auto.mercadolibre.com.ar/MLA-1393088887-porsche-panamera-turbo-cayenne-macan-911-panamera-_JM,2017,Porsche,Panamera Turbo,6,8,6,6,6,32,7,7,9,6,6,35,67,22:55,Warrington,Pennsylvania,Germany
Porsche Panamera Turbo 2017,Porsche,Panamera,4.8 Turbo 500cv (970),111111 km,4.8,Nafta,Automática,2013,Mar del Plata,150000,USD,https://auto.mercadolibre.com.ar/MLA-1468450964-porsche-panamera-turbo-2013-_JM,2017,Porsche,Panamera Turbo,6,8,6,6,6,32,7,7,9,6,6,35,67,22:55,Warrington,Pennsylvania,Germany
Porsche Panamera Turbo 2017,Porsche,Panamera,4.8 Turbo 500cv (970),100000 km,4.8,Nafta,Automática,2010,Del Viso,98000,USD,https://auto.mercadolibre.com.ar/MLA-1532667636-porsche-panamera-2010-48-turbo-500cv-970-_JM,2017,Porsche,Panamera Turbo,6,8,6,6,6,32,7,7,9,6,6,35,67,22:55,Warrington,Pennsylvania,Germany
BMW X3M Competition 2020,BMW,X3M,X3M COMPETITION,0 km,3.0 T / 6 cil / 510 hp,Nafta,Automática secuencial,2021,Vicente López,228900,USD,https://auto.mercadolibre.com.ar/MLA-1144133225-bmw-x3-m-_JM,2020,BMW,X3M Competition,6,8,6,7,5,32,7,6,7,8,6,34,66,11:27,Santa Ana,California,Germany
Audi R8 2014,Audi,R8 Coupé,5.2 Fsi 525cv R Tronic Quattro,21000 km,5.2,Nafta,Automática,2014,Pilar,240000,USD,https://auto.mercadolibre.com.ar/MLA-1543874810-audi-r8-coupe-52-fsi-525cv-r-tronic-quattro-_JM,2014,Audi,R8,8,7,8,8,7,38,5,5,8,2,8,28,66,16:31,Birmingham,Michigan,Germany
Audi R8 2014,Audi,R8 Coupé,5.2 Fsi 525cv R Tronic Quattro,25431 km,5.2,Nafta,Automática,2014,Capital Federal,245000,USD,https://auto.mercadolibre.com.ar/MLA-1498227038-audi-r8-v-10-coupe-r-tronic-_JM,2014,Audi,R8,8,7,8,8,7,38,5,5,8,2,8,28,66,16:31,Birmingham,Michigan,Germany
