Doug,Make,Model,Version,Kilometers,Engine,Fuel Type,Transmission,Year,City,Price,Currency,Link
Mercedes-Benz AMG GT S 2017,Mercedes-Benz,GTS,AMG GT S,5300 km,1.4,Nafta,Manual,2017,Escobar,310000,USD,https://auto.mercadolibre.com.ar/MLA-1525891586-mercedes-benz-gts-amg-gt-s-_JM
Ford GT 2005,Ford,Mustang,5.0 Coupe V8 Gt,140000 km,5.0,Nafta,Manual,2005,Campana,35000,USD,https://auto.mercadolibre.com.ar/MLA-1511814876-ford-mustang-v6-40-_JM
Ford GT 2005,Ford,Mustang,5.0 Coupe V8 Gt,72000 km,5.0,Nafta,Manual,2005,Capital Federal,44990,USD,https://auto.mercadolibre.com.ar/MLA-1502591412-ford-mustang-2005-50-coupe-v8-gt-_JM
Porsche Panamera Turbo 2017,Porsche,Panamera,4.8 Turbo 500cv (970),60000 km,4.8,Nafta,Automática,2011,Tigre,105000,USD,https://auto.mercadolibre.com.ar/MLA-1384706051-porsche-panamera-turbo-500-cv-_JM
Porsche Panamera Turbo 2017,Porsche,Panamera,4.8 Turbo 500cv (970),60000 km,4.8,Nafta,Automática,2011,Tigre,105000,USD,https://auto.mercadolibre.com.ar/MLA-1542288104-porsche-panamera-48-turbo-2011-_JM
Porsche Panamera Turbo 2017,Porsche,Panamera,4.8 Turbo 500cv (970),46000 km,4.8,Nafta,Automática,2011,Vicente López,130000,USD,https://auto.mercadolibre.com.ar/MLA-1393088887-porsche-panamera-turbo-cayenne-macan-911-panamera-_JM
Porsche Panamera Turbo 2017,Porsche,Panamera,4.8 Turbo 500cv (970),111111 km,4.8,Nafta,Automática,2013,Mar del Plata,150000,USD,https://auto.mercadolibre.com.ar/MLA-1468450964-porsche-panamera-turbo-2013-_JM
Porsche Panamera Turbo 2017,Porsche,Panamera,4.8 Turbo 500cv (970),100000 km,4.8,Nafta,Automática,2010,Del Viso,98000,USD,https://auto.mercadolibre.com.ar/MLA-1532667636-porsche-panamera-2010-48-turbo-500cv-970-_JM
BMW X3M Competition 2020,BMW,X3M,X3M COMPETITION,0 km,3.0 T / 6 cil / 510 hp,Nafta,Automática secuencial,2021,Vicente López,228900,USD,https://auto.mercadolibre.com.ar/MLA-1144133225-bmw-x3-m-_JM
Audi R8 2014,Audi,R8 Coupé,5.2 Fsi 525cv R Tronic Quattro,21000 km,5.2,Nafta,Automática,2014,Pilar,240000,USD,https://auto.mercadolibre.com.ar/MLA-1543874810-audi-r8-coupe-52-fsi-525cv-r-tronic-quattro-_JM
