Doug,Make,Model,Version,Kilometers,Engine,Fuel Type,Transmission,Year,City,Price,Currency,Link
Jeep Grand Cherokee L V8 2021,Jeep,Grand Cherokee,4.7 V8 Limited Scv Automática,240000 km,4.7,Nafta,Automática,2005,Lomas de Zamora,14500,USD,https://auto.mercadolibre.com.ar/MLA-1504509994-jeep-grand-cherokee-2005-47-v8-limited-scv-automatica-_JM
Jeep Grand Cherokee L V8 2021,Jeep,Grand Cherokee,5.2 V8 Limited,131000 km,5.2,Nafta,Manual,1997,Ezeiza,20000,USD,https://auto.mercadolibre.com.ar/MLA-1535156784-jeep-grand-cherokee-1997-limited-52-_JM
Jeep Grand Cherokee L V8 2021,Jeep,Grand Cherokee,5.2 V8 Limited,193000 km,5.2,Nafta,Manual,1996,San Isidro,16000,USD,https://auto.mercadolibre.com.ar/MLA-1393074495-jeep-grand-cherokee-1996-52-v8-limited-_JM
Jeep Grand Cherokee L V8 2021,Jeep,Grand Cherokee,5.2 V8 Tc Limited,192000 km,5.2,Nafta,Manual,1999,Tigre,10500,USD,https://auto.mercadolibre.com.ar/MLA-1512212488-jeep-grand-cherokee-_JM
Jeep Grand Cherokee L V8 2021,Jeep,Grand Cherokee,5.2 V8 Limited,202000 km,5.2,Nafta,Manual,1998,Pilar,11000,USD,https://auto.mercadolibre.com.ar/MLA-1391301181-jeep-grand-cherokee-limited-1998-v8-_JM
Jeep Grand Cherokee L V8 2021,Jeep,Grand Cherokee,5.2 V8 Tc Limited,84000 km,5.2,Nafta,Manual,1996,Capital Federal,18500,USD,https://auto.mercadolibre.com.ar/MLA-1535092042-jeep-grand-cherokee-1996-52-v8-tc-limited-_JM
Jeep Grand Cherokee L V8 2021,Jeep,Grand Cherokee,5.2 V8 Limited,184000 km,5.2,Nafta,Manual,1998,Guaymallén,9000,USD,https://auto.mercadolibre.com.ar/MLA-1523071762-jeep-grand-cherokee-1998-52-v8-limited-_JM
Jeep Grand Cherokee L V8 2021,Jeep,Grand Cherokee,5.2 V8 Limited Tc,210000 km,5.2,Nafta,Manual,1999,La Plata,8800,USD,https://auto.mercadolibre.com.ar/MLA-1390991581-jeep-grand-cherokee-1999-52-v8-limited-tc-_JM
Jeep Grand Cherokee L V8 2021,Jeep,Grand Cherokee,5.2 V8 Limited,176000 km,5.2,Nafta,Manual,1996,Lomas de Zamora,9400,USD,https://auto.mercadolibre.com.ar/MLA-1530146732-jeep-grand-cherokee-1996-52-v8-limited-_JM
Jeep Grand Cherokee L V8 2021,Jeep,Grand Cherokee,4.7 V8 Limited,190000 km,4.7,Nafta,Manual,1999,Berisso,9000,USD,https://auto.mercadolibre.com.ar/MLA-1393299819-jeep-grand-cherokee-1999-47-v8-limited-_JM
Jeep Grand Cherokee L V8 2021,Jeep,Grand Cherokee,5.2 V8 Limited,480000 km,5.2,Nafta,Manual,1998,Tigre,6000,USD,https://auto.mercadolibre.com.ar/MLA-1539585222-jeep-grand-cherokee-1998-52-v8-limited-_JM
Jeep Grand Cherokee L V8 2021,Jeep,Grand Cherokee,4.7 V8 Limited,220000 km,4.7,Nafta,Manual,2001,Berazategui,9200,USD,https://auto.mercadolibre.com.ar/MLA-1528983152-jeep-grand-cherokee-2001-47-v8-limited-_JM
Jeep Gladiator 2020,Jeep,Gladiator,Overland,14000 km,3.6 V6,Nafta,Automática,2022,Capital Federal,95000,USD,https://auto.mercadolibre.com.ar/MLA-1532585398-jeep-gladiator-overland-_JM
Jeep Gladiator 2020,Jeep,Wrangler,Gladiator,0 km,3.6,Nafta,Automática secuencial,2023,Capital Federal,99090,USD,https://auto.mercadolibre.com.ar/MLA-1391328055-jeep-new-gladiator-entrega-inmediata-_JM
Jeep Gladiator 2020,Jeep,Gladiator,Overland,0 km,3.6,Nafta,Automática secuencial,2023,Capital Federal,99097,USD,https://auto.mercadolibre.com.ar/MLA-1387869157-gladiatord-_JM
Jeep Gladiator 2020,Jeep,Gladiator,OVERLAND 3.6,0 km,3.6,Nafta,Automática,2023,Capital Federal,99000,USD,https://auto.mercadolibre.com.ar/MLA-1402214642-jeep-gladiator-overland-36-_JM
Jeep Gladiator 2020,Jeep,Gladiator,OVERLAND 4X4 3.6L V6 24V 285CV AT8,0 km,3.6,Diésel,Automática,2023,La Plata,109963,USD,https://auto.mercadolibre.com.ar/MLA-1527121266-jeep-gladiator-overland-36l-v6-24v-285cv-at8ds-_JM
Jeep Gladiator 2020,Jeep,Gladiator Overland,Overland,0 km,3.6 V6,Nafta,Automática,2023,Capital Federal,90000,USD,https://auto.mercadolibre.com.ar/MLA-1337694848-jeep-gladiator-hc-_JM
Jeep Gladiator 2020,Jeep,Gladiator,Overland,0 km,3.6,Nafta,Automática,2023,Avellaneda,99999,USD,https://auto.mercadolibre.com.ar/MLA-1317455946-gladiator-overland-36l-at8-4x4-_JM
Ford Focus ST 2013,Ford,Focus,Style 1.6 5 puertas,190000 km,2.0,Nafta,Automática,2013,San Isidro,5000,ARS,https://auto.mercadolibre.com.ar/MLA-1523607068-ford-focus-style-16-5-puertas-_JM
BMW Z4 sDrive30i 2019,BMW,Z4,3.0 Sdrive30i 258cv,60000 km,3.0,Nafta,Manual,2012,Villa Carlos Paz,55000,USD,https://auto.mercadolibre.com.ar/MLA-1468098294-bmw-z4-2012-30-sdrive30i-258cv-_JM
BMW Z4 sDrive30i 2019,BMW,Z4,3.0 Sdrive30i 258cv,27572 km,3.0,Nafta,Manual,2010,Capital Federal,53500,USD,https://auto.mercadolibre.com.ar/MLA-1388869495-bmw-z-4-cabriolet-mt-_JM
Jeep Wrangler Unlimited 2018,Jeep,Wrangler,3.6 Unlimited 284hp Atx,23000 km,3.6,Nafta,Automática,2018,Capital Federal,79900,USD,https://auto.mercadolibre.com.ar/MLA-1382611515-jeep-wrangler-unlimited-at-blanco-2018-23000kms-_JM
Jeep Wrangler Unlimited 2018,Jeep,Wrangler,3.6 Unlimited 284hp Atx,77000 km,3.6,Nafta,Automática,2018,Vicente López,65800,USD,https://auto.mercadolibre.com.ar/MLA-1393376207-jeep-wrangler-36-v6-rubicon-unlimited-2018-4x4-escape-kn-_JM
Jeep Wrangler Unlimited 2018,Jeep,Wrangler,3.6 Unlimited 284hp Atx,66000 km,3.6,Nafta,Automática,2018,Rosario,53900,USD,https://auto.mercadolibre.com.ar/MLA-1384271039-jeep-wrangler-sport-unlimited-36-at-_JM
Jeep Wrangler Unlimited 2018,Jeep,Wrangler,3.6 Unlimited 284hp Atx,12000 km,3.6,Nafta,Automática,2019,Tigre,95000,USD,https://auto.mercadolibre.com.ar/MLA-1524552732-jeep-wrangler-_JM
Jeep Wrangler Unlimited 2018,Jeep,Wrangler,3.8 Sport Mtx Unlimited,155000 km,3.8,Nafta,Manual,2008,Capital Federal,34000,USD,https://auto.mercadolibre.com.ar/MLA-1384229329-jeep-wrangler-2008-38-sport-mtx-unlimited-_JM
Jeep Wrangler Unlimited 2018,Jeep,Wrangler,3.6 Unlimited 284hp Atx,0 km,3.6,Nafta,Automática,2023,Capital Federal,102200,USD,https://auto.mercadolibre.com.ar/MLA-1310587589-jeep-gladiator-4x4-h-_JM
Jeep Wrangler Unlimited 2018,Jeep,Wrangler,3.6 Unlimited 284hp Atx,92000 km,3.6,Nafta,Automática,2011,Pilar,35000,USD,https://auto.mercadolibre.com.ar/MLA-1487605992-jeep-wrangler-2011-36-unlimited-284hp-atx-_JM
Jeep Wrangler Unlimited 2018,Jeep,Wrangler,3.6 Unlimited 284hp Atx,79000 km,3.6,Nafta,Automática,2011,Capital Federal,36000,USD,https://auto.mercadolibre.com.ar/MLA-1393366373-jeep-wrangler-36-unlimited-284hp-_JM
Jeep Wrangler Unlimited 2018,Jeep,Wrangler,3.6 Unlimited 284hp Atx,116279 km,3.6,Nafta,Automática,2019,Morón,54900,USD,https://auto.mercadolibre.com.ar/MLA-1541046662-jeep-wrangler-36-unlimited-2019-impecable-_JM
Jeep Wrangler Unlimited 2018,Jeep,Wrangler,3.8 Sport Unlimited 199cv Mtx,70000 km,3.8,Nafta,Manual,2011,La Falda,46000,USD,https://auto.mercadolibre.com.ar/MLA-1542277620-jeep-wrangler-2011-38-sport-unlimited-199cv-mtx-_JM
Jeep Wrangler Unlimited 2018,Jeep,Wrangler,3.8 Sport Unlimited 199cv Mtx,41500 km,3.8,Nafta,Manual,2011,Tigre,41000,USD,https://auto.mercadolibre.com.ar/MLA-1390227475-jeep-wrangler-2011-38-sport-unlimited-199cv-mtx-_JM
Jeep Wrangler Unlimited 2018,Jeep,Wrangler,3.8 Sport Mtx Unlimited,146000 km,3.8,Nafta,Manual,2008,Guaymallén,28000,USD,https://auto.mercadolibre.com.ar/MLA-1511788994-jeep-wrangler-sport-38-4ptas-unlimited-197cv-_JM
Jeep Wrangler Unlimited 2018,Jeep,Wrangler,3.6 Unlimited 284hp Atx,5000 km,3.6,Nafta,Automática,2022,Capital Federal,89900,USD,https://auto.mercadolibre.com.ar/MLA-1515205788-jeep-gladiator-_JM
Jeep Wrangler Unlimited 2018,Jeep,Wrangler,3.6 Unlimited 284hp Atx,3430 km,3.6,Nafta,Automática,2022,Capital Federal,89900,USD,https://auto.mercadolibre.com.ar/MLA-1515166588-jeep-gladiator-_JM
Jeep Wrangler Unlimited 2018,Jeep,Wrangler,3.6 Unlimited 284hp Atx,29000 km,3.6,Nafta,Automática,2019,Alta Gracia,63000,USD,https://auto.mercadolibre.com.ar/MLA-1389699783-jeep-wrangler-2019-36-unlimited-284hp-atx-_JM
Jeep Wrangler Unlimited 2018,Jeep,Wrangler,3.6 Unlimited 284hp Atx,124000 km,3.6,Nafta,Automática,2013,Vicente López,37500,USD,https://auto.mercadolibre.com.ar/MLA-1513027516-jeep-wrangler-2013-36-unlimited-284hp-atx-_JM
Jeep Wrangler Unlimited 2018,Jeep,Wrangler,3.8 Sport Atx Unlimited,190000 km,3.8,Nafta,Automática,2010,Vicente López,28500,USD,https://auto.mercadolibre.com.ar/MLA-1524511740-jeep-wrangler-2010-38-sport-atx-unlimited-_JM
Jeep Wrangler Unlimited 2018,Jeep,Wrangler,3.8 Sport Mtx Unlimited,90000 km,3.8,Nafta,Manual,2008,Mar del Plata,35000,USD,https://auto.mercadolibre.com.ar/MLA-1478387490-jeep-wrangler-2008-38-sport-mtx-unlimited-_JM
Jaguar XJ Super V8 2006,Jaguar,XJ,4.2 Super V8,69000 km,4.2,Nafta,Automática,2006,Capital Federal,32000,USD,https://auto.mercadolibre.com.ar/MLA-1383433671-jaguar-xj-super-v8-420-hp-2006-_JM
Fiat 500 Abarth 2015,Fiat,500,1.4 Abarth 595 160cv,68300 km,1.4,Nafta,Manual,2014,General San Martín,17000,USD,https://auto.mercadolibre.com.ar/MLA-1392651685-fiat-500-abarth-595-_JM
Fiat 500 Abarth 2015,Fiat,500,1.4 Abarth 595 165cv,28000 km,1.4,Nafta,Manual,2019,Pilar,23500,USD,https://auto.mercadolibre.com.ar/MLA-1531007704-fiat-500-2019-14-abarth-595-190cv-_JM
Fiat 500 Abarth 2015,Fiat,500,1.4 Abarth 595 165cv,57000 km,1.4,Nafta,Manual,2018,San Miguel,22000,USD,https://auto.mercadolibre.com.ar/MLA-1506072796-fiat-500-2018-14-abarth-595-165cv-_JM
Fiat 500 Abarth 2015,Fiat,500,1.4 Abarth 135cv,80000 km,1.4,Nafta,Manual,2013,Mar del Plata,17000,USD,https://auto.mercadolibre.com.ar/MLA-1393138229-fiat-500-abarth-2013-80000km-accesorios-cub-nuevas-_JM
Fiat 500 Abarth 2015,Fiat,500,1.4 Abarth 135cv,70000 km,1.4,Nafta,Manual,2014,Capital Federal,16000,USD,https://auto.mercadolibre.com.ar/MLA-1392274847-fiat-500-2014-14-abarth-135cv-maderomotors-_JM
Fiat 500 Abarth 2015,Fiat,500,1.4 Abarth 595 165cv,4000 km,1.4,Nafta,Manual,2021,Capital Federal,33900,USD,https://auto.mercadolibre.com.ar/MLA-1391808455-fiat-500-abarth-595-abarth-595-_JM
Fiat 500 Abarth 2015,Fiat,500,1.4 Abarth 595 165cv,20000 km,1.4,Nafta,Manual,2019,Mar del Plata,25000,USD,https://auto.mercadolibre.com.ar/MLA-1485687280-fiat-500-abarth-2019-_JM
Fiat 500 Abarth 2015,Fiat,500,1.4 Abarth 135cv,55000 km,1.4,Nafta,Manual,2014,La Plata,16200,USD,https://auto.mercadolibre.com.ar/MLA-1483073182-fiat-500-2014-14-abarth-_JM
Fiat 500 Abarth 2015,Fiat,500,1.4 Abarth 595 160cv,58500 km,1.4,Nafta,Manual,2014,La Matanza,15000,USD,https://auto.mercadolibre.com.ar/MLA-1533721414-fiat-500-2014-14-abarth-595-160cv-_JM
Fiat 500 Abarth 2015,Fiat,500,1.4 Abarth 595 165cv,16000 km,1.4,Nafta,Manual,2020,Avellaneda,24500,USD,https://auto.mercadolibre.com.ar/MLA-1544051956-fiat-500-2020-14-abarth-595-165cv-_JM
Fiat 500 Abarth 2015,Fiat,500,1.4 Abarth 595 165cv,21000 km,1.4,Nafta,Manual,2019,Mar del Plata,25000,USD,https://auto.mercadolibre.com.ar/MLA-1543892360-fiat-500-14-abarth-595-165cv-_JM
Fiat 500 Abarth 2015,Fiat,500,1.4 Abarth 595 165cv,31500 km,1.4,Nafta,Manual,2018,Capital Federal,23500,USD,https://auto.mercadolibre.com.ar/MLA-1530417932-fiat-500-2018-14-abarth-595-165cv-_JM
Fiat 500 Abarth 2015,Fiat,500,1.4 Abarth 595 165cv,41000 km,1.4,Nafta,Manual,2018,General San Martín,26000,USD,https://auto.mercadolibre.com.ar/MLA-1543222506-fiat-500-abarth-abarth-_JM
Fiat 500 Abarth 2015,Fiat,500,1.4 Abarth 595 165cv,41000 km,1.4,Nafta,Manual,2018,Lomas de Zamora,23000,USD,https://auto.mercadolibre.com.ar/MLA-1525223414-fiat-500-abarth-_JM
Fiat 500 Abarth 2015,Fiat,500,1.4 Abarth 595 165cv,9500 km,1.4,Nafta,Manual,2019,San Miguel,24000,USD,https://auto.mercadolibre.com.ar/MLA-1525188774-fiat-500-2019-14-abarth-595-165cv-_JM
Fiat 500 Abarth 2015,Fiat,500,1.4 Abarth 135cv,81500 km,1.4,Nafta,Manual,2013,Tres de febrero,13990,USD,https://auto.mercadolibre.com.ar/MLA-1535910066-fiat-500-abarth-_JM
Fiat 500 Abarth 2015,Fiat,500,1.4 Abarth 135cv,29500 km,1.4,Nafta,Manual,2014,Capital Federal,14900,USD,https://auto.mercadolibre.com.ar/MLA-1391723459-fiat-500-abarth-_JM
Fiat 500 Abarth 2015,Fiat,500,1.4 Abarth 135cv,30046 km,1.4,Nafta,Manual,2012,Ituzaingó,18000,USD,https://auto.mercadolibre.com.ar/MLA-1389595207-fiat-500-2012-14-abarth-135cv-_JM
Fiat 500 Abarth 2015,Fiat,500,1.4 Abarth 595 165cv,16300 km,1.4,Nafta,Manual,2019,Capital Federal,24000,USD,https://auto.mercadolibre.com.ar/MLA-1393040397-fiat-500-2019-14-abarth-595-165cv-_JM
Fiat 500 Abarth 2015,Fiat,500,1.4 Abarth 135cv,66300 km,1.4,Nafta,Manual,2013,Ituzaingó,14000,USD,https://auto.mercadolibre.com.ar/MLA-1524435034-fiat-500-2013-14-abarth-135cv-_JM
Fiat 500 Abarth 2015,Fiat,500,1.4 Abarth 595 165cv,24000 km,1.4,Nafta,Manual,2019,Del Viso,23900,USD,https://auto.mercadolibre.com.ar/MLA-1384979893-fiat-500-2019-14-abarth-595-165cv-_JM
Fiat 500 Abarth 2015,Fiat,500,1.4 Abarth 595 165cv,39800 km,1.4,Nafta,Manual,2019,Castelar,25500,USD,https://auto.mercadolibre.com.ar/MLA-1525922204-fiat-500-14-abarth-595-165cv-2019-car-cash-_JM
Fiat 500 Abarth 2015,Fiat,500,1.4 Abarth 135cv,55000 km,1.4,Nafta,Manual,2013,Lanús,15900000,USD,https://auto.mercadolibre.com.ar/MLA-1390243177-fiat-500-2013-14-abarth-135cv-_JM
Fiat 500 Abarth 2015,Fiat,500,1.4 Abarth 135cv,51000 km,1.4,Nafta,Manual,2013,Vicente López,16800,USD,https://auto.mercadolibre.com.ar/MLA-1481632334-fiat-500-2013-14-abarth-135cv-_JM
Mercedes-Benz SL500 2002,Mercedes-Benz,Clase SL,5.0 Sl500 Roadster,88000 km,5.0,Nafta,Automática,2005,Capital Federal,88000,USD,https://auto.mercadolibre.com.ar/MLA-1390166733-mercedes-benz-sl500-cabrio-_JM
Mercedes-Benz SL500 2002,Mercedes-Benz,SL500,3.2 S320 V6 1,40000 km,V8,Nafta,Manual,1986,Capital Federal,139900,USD,https://auto.mercadolibre.com.ar/MLA-1504803076-mercedes-benz-sl500-1986-autopremium-_JM
Land Rover Range Rover Evoque 2020,Land Rover,Range Rover,Evoque 2.0 Tpure Plus,108000 km,2.0,Nafta,Automática secuencial,2013,Godoy Cruz,33000,USD,https://auto.mercadolibre.com.ar/MLA-1487468798-range-rover-evoque-20-t-pure-plus-gencosa-_JM
Land Rover Range Rover Evoque 2020,Land Rover,Range Rover,Evoque,67299 km,2.0,Nafta,Automática,2017,Capital Federal,56500,USD,https://auto.mercadolibre.com.ar/MLA-1510953908-land-rover-range-rover-evoque-si4-20-_JM
Land Rover Range Rover Evoque 2020,Land Rover,Range Rover,Evoque 2.0 SE 240cv,48000 km,2.0,Nafta,Manual,2017,San Isidro,45500,USD,https://auto.mercadolibre.com.ar/MLA-1387695473-land-rover-range-rover-evoque-20-se-240cv-_JM
Mercedes-Benz GLC300 2020,Mercedes-Benz,Clase GLC,2.0 Glc300 4matic Coupe At,79000 km,2.0,Nafta,Automática,2020,Pilar,100000,USD,https://auto.mercadolibre.com.ar/MLA-1543862284-mercedes-benz-clase-glc-20-glc300-4matic-coupe-at-_JM
Mercedes-Benz GLC300 2020,Mercedes-Benz,Clase GLC,2.0 Glc300 4matic Coupe At,48000 km,2.0,Nafta,Automática,2020,Pilar,105000,USD,https://auto.mercadolibre.com.ar/MLA-1527045346-mercedes-benz-clase-glc-20-glc300-4matic-coupe-at-2020-_JM
Mercedes-Benz GLC300 2020,Mercedes-Benz,Clase GLC,2.0 Glc300 4matic Coupe At,60000 km,2.0,Nafta,Automática,2020,Capital Federal,120000,USD,https://auto.mercadolibre.com.ar/MLA-1388743415-mercedes-benz-clase-glc-2020-20-glc300-4matic-coupe-at-_JM
Mercedes-Benz GLC300 2020,Mercedes-Benz,Clase GLC,2.0 Glc300 4matic Offroad At,33000 km,2.0,Nafta,Automática,2020,Capital Federal,83000,USD,https://auto.mercadolibre.com.ar/MLA-1531022042-mercedes-benz-clase-glc-2020-20-glc300-4matic-offroad-at-_JM
Mercedes-Benz GLC300 2020,Mercedes-Benz,Clase GLC,2.0 Glc300 4matic Offroad At,27920 km,2.0,Nafta,Automática,2020,Mendoza,79000,USD,https://auto.mercadolibre.com.ar/MLA-1527089998-mercedes-benz-glc-300-off-road-2020-_JM
Mercedes-Benz GLC300 2020,Mercedes-Benz,Clase GLC,2.0 Glc300 4matic Offroad At,11000 km,2.0,Nafta,Automática,2020,Berazategui,83000,USD,https://auto.mercadolibre.com.ar/MLA-1392408537-mercedes-benz-clase-glc-2020-20-glc300-4matic-offroad-at-_JM
Mercedes-Benz GLC300 2020,Mercedes-Benz,Clase GLC,2.0 Glc300 4matic Coupe At,61000 km,2.0,Nafta,Automática,2020,Capital Federal,85000,USD,https://auto.mercadolibre.com.ar/MLA-1523642438-mercedes-benz-clase-glc-2020-20-glc300-4matic-coupe-at-_JM
Mercedes-Benz GLC300 2020,Mercedes-Benz,Clase GLC,2.0 Glc300 4matic Offroad At,34000 km,2.0,Nafta,Automática,2020,Vicente López,89000,USD,https://auto.mercadolibre.com.ar/MLA-1494701356-mercedes-benz-clase-glc-2020-20-glc300-4matic-offroad-at-_JM
Mercedes-Benz GLC300 2020,Mercedes-Benz,Clase GLC,2.0 Glc300 4matic Coupe At,55000 km,2.0,Nafta,Automática,2020,Capital Federal,118000,USD,https://auto.mercadolibre.com.ar/MLA-1518060008-mercedes-benz-clase-glc-2020-20-glc300-4matic-coupe-at-_JM
Mercedes-Benz GLC300 2020,Mercedes-Benz,Clase GLC,2.0 Glc300 4matic Offroad At,69000 km,2.0,Nafta,Automática,2020,Rosario,75000000,USD,https://auto.mercadolibre.com.ar/MLA-1500783412-mercedes-benz-clase-glc-2020-20-glc300-4matic-offroad-at-_JM
Mercedes-Benz GLC300 2020,Mercedes-Benz,Clase GLC,2.0 Glc300 4matic Coupe At,55000 km,2.0,Nafta,Automática,2020,Moreno,98000,USD,https://auto.mercadolibre.com.ar/MLA-1508152752-mercedes-benz-glc-300-coupe-2020-55000-muy-cuidada--_JM
Mercedes-Benz GLC300 2020,Mercedes-Benz,Clase GLC,2.0 Glc300 4matic Coupe At,69000 km,2.0,Nafta,Automática,2020,Brandsen,85000,USD,https://auto.mercadolibre.com.ar/MLA-1390536551-mercedes-benz-glc-300-coupe-amg-line-_JM
Mercedes-Benz GLC300 2020,Mercedes-Benz,Clase GLC,2.0 Glc300 4matic Coupe At,22600 km,2.0,Nafta,Automática,2020,Tigre,113000,USD,https://auto.mercadolibre.com.ar/MLA-1509793842-mercedes-benz-clase-glc-2020-20-glc300-4matic-coupe-at-_JM
Mercedes-Benz GLC300 2020,Mercedes-Benz,Clase GLC,2.0 Glc300 4matic Coupe At,45000 km,2.0,Nafta,Automática,2020,Quilmes,100000,USD,https://auto.mercadolibre.com.ar/MLA-1391125441-mercedes-benz-clase-glc-2020-20-glc300-4matic-coupe-at-_JM
Mercedes-Benz GLC300 2020,Mercedes-Benz,Clase GLC,2.0 Glc300 4matic Coupe At,60000 km,2.0,Nafta,Automática,2020,General Villegas,80000,USD,https://auto.mercadolibre.com.ar/MLA-1540519284-mercedes-benz-clase-glc-2020-20-glc300-4matic-coupe-at-_JM
Mercedes-Benz GLC300 2020,Mercedes-Benz,Clase GLC,2.0 Glc300 4matic Offroad At,40000 km,2.0,Nafta,Automática,2020,Del Viso,90000,USD,https://auto.mercadolibre.com.ar/MLA-1392029727-mercedes-benz-clase-glc-2020-20-glc300-4matic-offroad-at-_JM
Mercedes-Benz GLC300 2020,Mercedes-Benz,Clase GLC,2.0 Glc300 4matic Coupe At,16600 km,2.0,Nafta,Automática,2021,Avellaneda,120000,USD,https://auto.mercadolibre.com.ar/MLA-1385572679-mercedes-benz-clase-glc-2021-20-glc300-4matic-coupe-at-ae70-_JM
Ferrari Testarossa 1985,Ferrari,Testarossa,Berlinetta,24000 km,4 tiempos,Nafta,Manual,1998,Montevideo,320000,USD,https://auto.mercadolibre.com.ar/MLA-1392573747-ferrari-testarossa-berlinetta-_JM
Mercedes-Benz GLB250 2020,Mercedes-Benz,Clase GLB,2.0 Glb250 Progressive 224cv,112418 km,2.0,Nafta,Automática,2020,Capital Federal,77000,USD,https://auto.mercadolibre.com.ar/MLA-1471967294-mercedes-benz-clase-glb-20-glb250-progressive-224cv-da-_JM
Mercedes-Benz GLB250 2020,Mercedes-Benz,Clase GLB,2.0 Glb250 Progressive 224cv,110300 km,2.0,Nafta,Automática,2020,Capital Federal,77000,USD,https://auto.mercadolibre.com.ar/MLA-1382221335-mercedes-benz-glb-250-4-matic-_JM
Mercedes-Benz GLB250 2020,Mercedes-Benz,Clase GLB,2.0 Glb250 Progressive 224cv,25500 km,2.0,Nafta,Automática,2020,Capital Federal,70900,USD,https://auto.mercadolibre.com.ar/MLA-1504548450-mercedes-benz-glb-250-4-matic-2020-autopremium-_JM
Mercedes-Benz GLB250 2020,Mercedes-Benz,Clase GLB,2.0 Glb250 Progressive 224cv,30000 km,2.0,Nafta,Automática,2020,Capital Federal,70900,USD,https://auto.mercadolibre.com.ar/MLA-1384543115-mercedes-benz-glb-250-progressive-4-matic-_JM
Mercedes-Benz GLB250 2020,Mercedes-Benz,Clase GLB,2.0 Glb250 Progressive 224cv,64000 km,2.0,Nafta,Automática,2020,Pilar,65000,USD,https://auto.mercadolibre.com.ar/MLA-1531643340-mercedes-benz-glb-250-_JM
Mercedes-Benz GLB250 2020,Mercedes-Benz,Clase GLB,2.0 Glb250 Progressive 224cv,78000 km,2.0,Nafta,Automática,2020,Moreno,65000,USD,https://auto.mercadolibre.com.ar/MLA-1518081580-mercedes-benz-glb-250-2021-78000-km--_JM
Mercedes-Benz GLB250 2020,Mercedes-Benz,Clase GLB,2.0 Glb250 Progressive 224cv,25000 km,2.0,Nafta,Automática,2021,Pilar,81500,USD,https://auto.mercadolibre.com.ar/MLA-1487896920-mercedes-benz-clase-glb-20-glb250-progressive-224cv-_JM
Mercedes-Benz GLB250 2020,Mercedes-Benz,Clase GLB,2.0 Glb250 Progressive 224cv,0 km,2.0,Nafta,Automática,2022,Rosario,113100,USD,https://auto.mercadolibre.com.ar/MLA-1429311350-mercedes-benz-glb-250-_JM
Mercedes-Benz GLB250 2020,Mercedes-Benz,Clase GLB,2.0 Glb250 Progressive 224cv,3000 km,2.0,Nafta,Automática,2022,Capital Federal,100000,USD,https://auto.mercadolibre.com.ar/MLA-1528745774-mercedes-benz-clase-glb-2022-20-glb250-progressive-224cv-_JM
Mercedes-Benz GLB250 2020,Mercedes-Benz,Clase GLB,2.0 Glb250 Progressive 224cv,4000 km,2.0,Nafta,Automática,2022,Capital Federal,99000,USD,https://auto.mercadolibre.com.ar/MLA-1528758748-mercedes-benz-clase-glb-2022-20-glb250-progressive-224cv-_JM
Audi Q3 2019,Audi,Q3,2.0 Tfsi Stronic Quattro 220cv,69999 km,2.0,Nafta,Automática,2018,Capital Federal,36000,USD,https://auto.mercadolibre.com.ar/MLA-1524433862-audi-q3-2018-2017-2019-q2-a3-sportback-q5-sedan-a1-a4-usada-_JM
Audi Q3 2019,Audi,Q3,Q3 2.0 TFSI S Line Black quattro 220cv,44000 km,2.0,Nafta,Automática,2019,Capital Federal,37900,USD,https://auto.mercadolibre.com.ar/MLA-1392578363-audi-q3-20-tfsi-s-line-black-quattro-220cv-2019-_JM
Audi Q3 2019,Audi,Q3,1.4 Tfsi Stronic 150 Cv,57000 km,1.4,Nafta,Automática,2019,San Miguel de Tucumán,33000,USD,https://auto.mercadolibre.com.ar/MLA-1533664378-audi-q3-2019-14-tfsi-stronic-150-cv-_JM
Audi Q3 2019,Audi,Q3,1.4 Tfsi Stronic 150 Cv,51000 km,1.4,Nafta,Automática,2019,Ituzaingó,32990,USD,https://auto.mercadolibre.com.ar/MLA-1391218959-audi-q3-14tfsi-at-_JM
Audi Q3 2019,Audi,Q3,2.0 Tfsi Stronic Quattro 220cv,60000 km,2.0,Nafta,Automática,2019,Yerba Buena,41000,USD,https://auto.mercadolibre.com.ar/MLA-1385925775-audi-q3-20-quattro-s-line-_JM
Audi Q3 2019,Audi,Q3,1.4 Tfsi Stronic 150 Cv,28000 km,1.4,Nafta,Automática,2019,Mar del Plata,35000,USD,https://auto.mercadolibre.com.ar/MLA-1392859393-audi-q3-2019-14-tfsi-stronic-150-cv-_JM
Audi Q3 2019,Audi,Q3 Sportback,SLine,50000 km,2.0,Nafta,Automática,2019,Capital Federal,40500,USD,https://auto.mercadolibre.com.ar/MLA-1388322763-audi-q3-20-tfsi-sline-quattro-_JM
Audi Q3 2019,Audi,Q3,2.0 Tfsi Stronic Quattro 220cv,17600 km,2.0,Nafta,Automática,2019,Neuquén,49000,USD,https://auto.mercadolibre.com.ar/MLA-1543228930-audi-q3-2019-20-tfsi-stronic-quattro-220cv-_JM
Audi Q3 2019,Audi,Q3,1.4 Tfsi Sport 150 Cv,28800 km,1.4,Nafta,Manual,2019,Pilar,28000,USD,https://auto.mercadolibre.com.ar/MLA-1521779896-audi-q3-2019-14-tfsi-sport-150-cv-_JM
